,main,collab-sdk-dev,4.4.0,4.3.0,4.2.0,4.1.0,4.0.0,3.7.0,3.6.0,3.5.0,3.4.0,3.3.0,3.2.0,3.1.0,3.0.0,2.7.3,2.7.2,2.7.1,2.7.0
1.0.1,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.0.0,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
0.17.4,N,N,N,Y,Y,P,P,N,N,N,N,N,N,N,N,N,N,N,N
0.17.3,N,N,N,Y,Y,P,P,N,N,N,N,N,N,N,N,N,N,N,N
0.17.2,N,N,N,Y,Y,P,P,N,N,N,N,N,N,N,N,N,N,N,N
0.17.1,N,N,N,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,N
0.17.0,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
0.16.9,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.8,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.6,N,N,N,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N
0.16.5,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.4,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.3,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.2,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.1,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.16.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.15.2,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.15.1,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.15.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
0.14.2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
0.14.1,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
0.14.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
0.13.2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
